product_id,Sku_name,Total_sales,price,Total_comment_count,Product_score
5.82728E+11,Hugo Boss【BOSS】男士商务休闲Palmellato皮革公文包50390138 ,0,5360,0,无数据
5.69471E+11,Hugo Boss【Hugo】男士萤火虫艺术插画休闲版棉T恤50388517 ,21,600,7,5
5.7982E+11,Hugo Boss【BOSS】男士商务休闲正装西裤50375814 ,5,2600,2,5
5.47049E+11,Hugo Boss【BOSS】男士斜挎单肩包50311778 ,6,1820,2,5
5.82036E+11,Hugo Boss【BOSS】男士商务休闲印花平角内裤50401115 ,6,280,2,5
5.78097E+11,Hugo Boss【BOSS】男士运动休闲拉链开衫长袖运动衫外套50392768 ,1,2240,0,无数据
5.73018E+11,Hugo Boss【BOSS】男士商务休闲领带50397042 ,7,720,0,无数据
5.77316E+11,Hugo Boss【BOSS】男士运动休闲开衫针织运动衫外套50395672 ,11,1900,1,5
5.78514E+11,Hugo Boss【BOSS】男士运动休闲修身版棉质长袖polo衫50393177 ,3,1160,1,5
5.8328E+11,Hugo Boss【BOSS】男士商务休闲常规版羊毛外套50404302 ,0,6700,0,无数据
5.83174E+11,Hugo Boss【BOSS】男士商务休闲鞋50407550 ,0,2800,0,无数据
5.81301E+11,Hugo Boss【BOSS】男士商务休闲夹克50393941 ,0,7800,0,无数据
5.77272E+11,Hugo Boss【Hugo】男士弹力棉薄款运动夹克衫外套50394810 ,1,2590,0,无数据
5.70867E+11,Hugo Boss【BOSS】男士商务休闲针织印花T恤50391981 ,13,540,2,5
5.61677E+11,Hugo Boss【BOSS】男士商务休闲牛皮革系带运动鞋50380269 ,14,2800,3,5
5.69151E+11,Hugo Boss【HUGO】女士休闲版翻转logo图案T恤衫50389153 ,10,330,4,5
5.8071E+11,Hugo Boss【BOSS】男士商务休闲黑色短袖T恤50401901 ,4,1000,1,5
5.75519E+11,Hugo Boss【Hugo】男士格伦格纹正装长裤50393673 ,9,1400,3,5
5.82594E+11,Hugo Boss【BOSS】男士商务休闲衬衫50393289 ,2,1080,0,无数据
5.76642E+11,Hugo Boss【BOSS】男士商务休闲衬衫50393681 ,12,880,4,4.7
5.77941E+11,Hugo Boss【BOSS】男士运动休闲常规拉链开衫运动衫卫衣50392623 ,9,2080,2,5
5.78093E+11,Hugo Boss【BOSS】男士商务休闲棉质长袖polo衫50391643 ,2,1440,0,无数据
5.68305E+11,Hugo Boss【BOSS】男士商务休闲牛皮革手链50390116 ,3,930,2,5
5.62788E+11,Hugo Boss【BOSS】男士舒适休闲修身版长袖棉质T恤50378314 ,14,770,5,5
5.80999E+11,Hugo Boss【BOSS】女士商务休闲水手领长袖运动衫卫衣50402479 ,0,1900,1,5
5.8083E+11,Hugo Boss【BOSS】男士商务休闲羊毛混纺长裤50395643 ,0,1800,2,5
5.74441E+11,Hugo Boss【Hugo】男士宽松迷彩印花连帽运动衫卫衣50395017 ,13,1155,2,5
5.69786E+11,Hugo Boss【BOSS】男士商务休闲Formula ExBOSS合作款T恤50403347 ,26,540,6,4.8
5.71102E+11,Hugo Boss【BOSS】男士舒适休闲短袖衬衫50388581 ,16,600,2,5
5.73021E+11,Hugo Boss【BOSS】男士商务休闲桑蚕丝领带50397818 ,13,720,1,5
