product_id,eva_tag
575885302972,4.6
578092200697,无数据
581521881149,无数据
546655367154,4.2
569372611605,5
581324636933,无数据
574040731716,5
581518600203,无数据
573975876240,5
580218240106,无数据
582229507084,无数据
581255525600,无数据
583138710954,无数据
568981674753,4.8
580216772737,无数据
581981195050,无数据
584121419772,无数据
580392324557,无数据
572599727256,无数据
581867965120,无数据
582820236877,无数据
581980419916,无数据
576691519176,无数据
581780248622,无数据
574435882078,5
580711722670,无数据
579821727321,4.6
581323450481,5
577386011776,无数据
581522273507,5
582034882418,无数据
582704619137,无数据
578315385121,无数据
583166956615,无数据
582512598752,5
583280171931,无数据
574332705743,5
583142630493,无数据
578098956133,无数据
580714058540,无数据
568887553318,4.8
576655817418,无数据
566012468806,5
581061404470,5
578137424221,无数据
577916062925,无数据
569460113151,无数据
569457373577,无数据
573593956705,5
569374638030,无数据
565463946308,4.8
577339070078,5
575029800916,无数据
571752407805,无数据
574920379987,无数据
574581785709,5
576640527763,无数据
574548883629,5
569780523454,无数据
582152823563,无数据
581383652508,无数据
580841651271,5
566401782394,5
582817428068,无数据
572935518468,无数据
574819698389,无数据
572830741154,无数据
581978085071,无数据
569328448006,无数据
576649793884,5
581974413906,无数据
576887143520,无数据
575302990506,无数据
571640706513,5
577382675117,5
571248952000,无数据
565969196601,无数据
582103722195,5
576884163066,无数据
574818934702,无数据
578034807333,无数据
577079503805,无数据
572827577878,无数据
568983466027,无数据
543487890824,无数据
572831709544,无数据
580843647100,无数据
582238907581,无数据
582239727119,5
581672240028,无数据
581325832801,无数据
569476536008,5
546986788050,5
569476232888,5
577450703121,4.6
575029676332,无数据
580391728406,无数据
577219957704,5
569067075983,5
583145258022,无数据
569476692785,5
581977467027,无数据
571406936138,5
569602473289,5
569603757889,无数据
581866413237,无数据
574430788560,无数据
581706572346,无数据
575259732255,无数据
571164262617,无数据
564824300669,5
566206808343,4
570931404581,无数据
569783459879,5
574430592190,无数据
573856078507,无数据
577033020704,无数据
